Sno,GasLevel,Gas,Status,
,33,Ethane,ObstructiveSleepApnea,
,34,Ethane,ObstructiveSleepApnea,
,35,Ethane,ObstructiveSleepApnea,
,36,Ethane,ObstructiveSleepApnea,
,37,Ethane,ObstructiveSleepApnea,
,38,Ethane,ObstructiveSleepApnea,
,39,Ethane,ObstructiveSleepApnea,
,40,Ethane,ObstructiveSleepApnea,
,41,Ethane,ObstructiveSleepApnea,
,42,Ethane,ObstructiveSleepApnea,
,43,Ethane,ObstructiveSleepApnea,
,44,Ethane,ObstructiveSleepApnea,
,45,Ethane,ObstructiveSleepApnea,
,46,Ethane,ObstructiveSleepApnea,
,47,Ethane,ObstructiveSleepApnea,
,48,Ethane,ObstructiveSleepApnea,
,49,Ethane,ObstructiveSleepApnea,
,50,Ethane,ObstructiveSleepApnea,
,21,Pentane,IschemicHeartDisease,
,22,Pentane,IschemicHeartDisease,
,23,Pentane,IschemicHeartDisease,
,24,Pentane,IschemicHeartDisease,
,25,Pentane,IschemicHeartDisease,
,26,Pentane,IschemicHeartDisease,
,27,Pentane,IschemicHeartDisease,
,28,Pentane,IschemicHeartDisease,
,29,Pentane,IschemicHeartDisease,
,30,Pentane,IschemicHeartDisease,
,31,Pentane,IschemicHeartDisease,
,32,Pentane,IschemicHeartDisease,
,33,Pentane,IschemicHeartDisease,
,34,Pentane,IschemicHeartDisease,
,35,Pentane,IschemicHeartDisease,
,36,Pentane,IschemicHeartDisease,
,37,Pentane,IschemicHeartDisease,
,38,Pentane,IschemicHeartDisease,
,39,Pentane,IschemicHeartDisease,
,40,Pentane,IschemicHeartDisease,
,41,Pentane,IschemicHeartDisease,
,42,Pentane,IschemicHeartDisease,
,43,Pentane,IschemicHeartDisease,
,44,Pentane,IschemicHeartDisease,
,45,Pentane,IschemicHeartDisease,
,46,Pentane,IschemicHeartDisease,
,47,Pentane,IschemicHeartDisease,
,48,Pentane,IschemicHeartDisease,
,49,Pentane,IschemicHeartDisease,
,50,Pentane,IschemicHeartDisease,
,51,Pentane,IschemicHeartDisease,
,52,Pentane,IschemicHeartDisease,
,53,Pentane,IschemicHeartDisease,
,54,Pentane,IschemicHeartDisease,
,55,Pentane,IschemicHeartDisease,
,56,Pentane,IschemicHeartDisease,
,57,Pentane,IschemicHeartDisease,
,58,Pentane,IschemicHeartDisease,
,59,Pentane,IschemicHeartDisease,
,60,Pentane,IschemicHeartDisease,
,61,Pentane,IschemicHeartDisease,
,62,Pentane,IschemicHeartDisease,
,63,Pentane,IschemicHeartDisease,
,64,Pentane,IschemicHeartDisease,
,65,Pentane,IschemicHeartDisease,
,66,Pentane,IschemicHeartDisease,
,67,Pentane,IschemicHeartDisease,
,68,Pentane,IschemicHeartDisease,
,69,Pentane,IschemicHeartDisease,
,70,Pentane,IschemicHeartDisease,
,71,Pentane,IschemicHeartDisease,
,72,Pentane,IschemicHeartDisease,
,73,Pentane,IschemicHeartDisease,
,74,Pentane,IschemicHeartDisease,
,75,Pentane,IschemicHeartDisease,
,76,Pentane,IschemicHeartDisease,
,77,Pentane,IschemicHeartDisease,
,78,Pentane,IschemicHeartDisease,
,79,Pentane,IschemicHeartDisease,
,80,Pentane,IschemicHeartDisease,
,81,Pentane,IschemicHeartDisease,
,82,Pentane,IschemicHeartDisease,
,83,Pentane,IschemicHeartDisease,
,84,Pentane,IschemicHeartDisease,
,85,Pentane,IschemicHeartDisease,
,86,Pentane,IschemicHeartDisease,
,87,Pentane,IschemicHeartDisease,
,88,Pentane,IschemicHeartDisease,
,89,Pentane,IschemicHeartDisease,
,90,Pentane,IschemicHeartDisease,
,91,Pentane,IschemicHeartDisease,
,92,Pentane,IschemicHeartDisease,
,93,Pentane,IschemicHeartDisease,
,94,Pentane,IschemicHeartDisease,
,95,Pentane,IschemicHeartDisease,
,96,Pentane,IschemicHeartDisease,
,97,Pentane,IschemicHeartDisease,
,98,Pentane,IschemicHeartDisease,
,99,Pentane,IschemicHeartDisease,
,100,Pentane,IschemicHeartDisease,
,101,Pentane,IschemicHeartDisease,
,102,Pentane,IschemicHeartDisease,
,103,Pentane,IschemicHeartDisease,
,104,Pentane,IschemicHeartDisease,
,105,Pentane,IschemicHeartDisease,
